,credit,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
1371,0,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-17713,-718,1,1,0,Managers,2,-26
1372,1,M,Y,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-22407,-2174,0,0,0,Laborers,2,-9
1373,1,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-15318,-5490,0,0,0,Accountants,2,-59
1374,1,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11954,-467,0,0,1,Drivers,1,-48
1375,1,M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10059,-1626,0,1,0,Unknown,3,-29
1376,1,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17473,-2631,0,0,0,Managers,1,-18
1377,1,F,Y,N,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-15208,-3993,1,1,0,Managers,2,-16
1378,1,F,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17840,-1807,0,0,0,Core staff,1,-33
1379,1,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-20298,1,0,0,0,No,2,-39
1380,1,F,N,Y,0,56250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24058,1,0,1,0,No,2,-18
1381,1,F,N,Y,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-14976,-4212,0,0,0,Unknown,4,-21
1382,0,F,N,Y,1,202500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-15975,-8760,0,0,0,Private service staff,3,-15
1383,1,F,N,Y,0,112500.0,Working,Higher education,Married,With parents,-9310,-825,0,0,0,Core staff,2,-26
1384,1,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13868,-415,0,0,0,Laborers,2,-14
1385,1,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,-23933,1,0,0,0,No,2,-32
1386,1,M,N,Y,1,180000.0,Working,Higher education,Married,With parents,-15670,-1654,0,0,0,Cooking staff,3,-35
1387,1,F,N,Y,0,123750.0,Working,Secondary / secondary special,Married,House / apartment,-16686,-599,0,0,0,Cleaning staff,2,-43
1388,1,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,0,0,0,Unknown,1,-23
1389,1,M,Y,N,0,117000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9053,-165,0,0,1,Unknown,1,-25
1390,1,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9509,-2662,1,1,0,Drivers,4,-27
1391,1,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10872,-1051,0,0,0,Laborers,3,-14
1392,1,F,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18114,-10121,0,0,0,High skill tech staff,2,-32
1393,1,M,N,Y,0,337500.0,Working,Secondary / secondary special,Married,House / apartment,-20562,-2178,0,0,0,Drivers,2,-16
1394,1,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22651,-3613,0,0,0,Unknown,2,-3
1395,1,M,Y,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13437,-1713,0,0,0,Drivers,3,-12
1396,1,M,Y,Y,0,225000.0,State servant,Higher education,Married,House / apartment,-11898,-2446,0,0,0,Unknown,2,-7
1397,1,M,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,With parents,-8919,-947,0,0,0,Laborers,1,-26
1398,1,M,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-18817,-2934,1,0,0,Laborers,2,-3
1399,1,M,N,Y,0,46948.5,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21167,1,0,0,0,No,1,-3
1400,1,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20474,-11683,1,1,0,Accountants,2,-30
1401,1,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18945,-1677,1,0,0,Managers,1,-44
1402,1,F,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-18283,-1113,0,0,0,Unknown,2,-20
1403,0,M,Y,N,2,166500.0,Commercial associate,Higher education,Married,House / apartment,-12312,-1199,0,0,0,Core staff,4,-14
1404,1,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15839,-1525,1,1,0,Sales staff,2,-32
1405,1,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-13761,-2783,0,0,0,Laborers,3,-4
1406,0,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16285,-1184,0,0,0,Laborers,2,-12
1407,1,F,Y,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18279,-1741,0,1,0,Sales staff,2,-3
1408,1,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11390,-515,0,1,0,Sales staff,2,-37
1409,1,F,N,Y,3,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16694,-412,1,1,0,Sales staff,5,-47
1410,1,M,Y,Y,0,225000.0,Working,Higher education,Married,Rented apartment,-10602,-481,0,0,0,Sales staff,2,-58
1411,1,F,N,Y,0,270000.0,Pensioner,Higher education,Married,House / apartment,-19724,1,0,1,0,No,2,-25
1412,1,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,-17330,-848,0,0,0,Drivers,4,-8
1413,1,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16280,-3062,0,1,1,Managers,2,-26
1414,1,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20900,1,0,1,0,No,2,-40
1415,0,F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,Rented apartment,-17213,-1143,0,0,0,Core staff,2,-6
1416,1,M,N,Y,0,36900.0,Working,Secondary / secondary special,Married,House / apartment,-18565,-1800,0,0,0,Laborers,2,-3
1417,1,F,N,Y,1,675000.0,Commercial associate,Higher education,Married,House / apartment,-15843,-1398,0,1,0,Sales staff,3,-14
1418,1,F,N,Y,0,94500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24302,1,0,0,0,No,1,-2
1419,1,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-9970,-1315,0,0,0,Drivers,2,-5
1420,1,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-11950,-3109,0,0,0,Cleaning staff,3,-20
1421,1,F,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,-18156,-1250,0,0,0,Managers,2,-44
1422,1,M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21720,1,0,1,0,No,2,-20
1423,1,M,Y,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-16337,-2727,1,1,0,Unknown,2,-34
1424,1,F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,-19305,-1905,0,0,0,Core staff,1,-23
1425,1,M,Y,Y,2,139500.0,Working,Secondary / secondary special,Married,House / apartment,-9649,-2284,0,0,0,Laborers,4,-13
1426,0,F,N,Y,0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940,1,0,0,0,No,2,-55
1427,1,F,N,Y,1,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14616,-4543,1,1,1,Unknown,3,-13
1428,1,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-11147,-262,0,0,0,Cleaning staff,4,-43
1429,0,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-14434,-3680,0,1,0,Secretaries,2,-25
1430,1,F,Y,N,1,166500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14019,-3902,0,0,0,Sales staff,3,-5
1431,1,F,N,N,1,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11398,-1687,0,0,0,Core staff,3,-40
1432,1,F,N,N,0,207000.0,Working,Higher education,Married,House / apartment,-14740,-6723,0,1,0,Core staff,2,-40
1433,1,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15153,-3143,1,1,0,Laborers,2,-48
1434,1,F,N,Y,0,337500.0,Working,Higher education,Widow,House / apartment,-22613,-2970,0,1,0,Accountants,1,-13
1435,1,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-20061,-5970,0,0,0,Laborers,2,-43
1436,1,F,N,N,0,90000.0,State servant,Higher education,Civil marriage,Office apartment,-19872,-4509,1,0,0,Unknown,2,-55
1437,1,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13277,-1022,1,0,0,Sales staff,2,-11
1438,0,F,N,Y,0,360000.0,Commercial associate,Higher education,Separated,House / apartment,-17965,-2775,0,1,0,Private service staff,1,-17
1439,0,F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23914,1,0,0,0,No,2,-51
1440,1,F,N,N,0,121500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23491,1,0,0,0,No,1,-14
1441,1,F,N,N,0,67500.0,State servant,Secondary / secondary special,Married,Co-op apartment,-18221,-7471,0,0,0,High skill tech staff,2,-30
1442,1,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20495,1,0,1,0,No,2,-6
1443,1,F,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19790,-653,1,1,0,Cooking staff,2,-40
1444,1,M,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-19653,-11332,0,0,0,Drivers,2,-51
1445,1,M,N,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15168,-200,0,0,0,High skill tech staff,1,-41
1446,1,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14295,-2083,1,1,0,Laborers,1,-17
1447,1,M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,-23636,1,0,0,0,No,2,-25
1448,1,F,Y,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12799,-1546,1,0,0,Laborers,2,-8
1449,1,M,Y,Y,0,261000.0,Working,Secondary / secondary special,Married,House / apartment,-15708,-5250,0,0,0,Laborers,2,-23
1450,1,F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11342,-2389,0,0,0,Unknown,1,-59
1451,1,M,Y,Y,1,247500.0,Working,Higher education,Married,Municipal apartment,-15606,-160,0,1,0,Sales staff,3,-2
1452,1,F,Y,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-14419,-2407,1,1,0,Unknown,2,-60
1453,1,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15407,-1801,0,0,0,Waiters/barmen staff,2,-36
1454,1,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23132,1,0,0,0,No,2,-40
1455,1,M,Y,Y,0,180000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23289,1,0,1,0,No,2,-27
1456,1,M,N,Y,0,225000.0,Working,Lower secondary,Married,Municipal apartment,-10565,-811,1,1,0,Unknown,2,-17
1457,1,M,N,N,1,225000.0,Working,Higher education,Married,House / apartment,-13747,-6273,0,0,0,Core staff,3,-9
1458,1,F,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-16999,-1140,1,1,0,Sales staff,1,-14
1459,1,M,N,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-19619,1,0,0,0,No,2,-26
1460,1,M,Y,Y,1,427500.0,Working,Higher education,Married,House / apartment,-15085,-354,0,0,0,Managers,3,-41
1461,1,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,-11087,-473,0,0,0,Cleaning staff,3,-1
1462,1,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19565,-3246,0,0,0,Unknown,2,-21
1463,1,F,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16677,-9482,0,0,0,Core staff,1,-10
1464,1,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13440,-6639,0,0,0,Core staff,2,-50
1465,1,F,N,Y,0,135000.0,State servant,Higher education,Separated,House / apartment,-16493,-9255,0,0,0,Core staff,1,-18
1466,1,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14717,-1496,0,0,0,Unknown,3,-8
1467,1,F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-9615,-2266,0,0,1,Managers,3,-10
1468,1,F,Y,N,2,180000.0,Working,Higher education,Married,House / apartment,-15130,-5422,1,1,0,Accountants,4,-22
1469,0,M,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-13062,-501,0,1,0,Drivers,2,-25
1470,1,F,N,Y,0,193500.0,Pensioner,Incomplete higher,Widow,House / apartment,-24295,1,0,0,0,No,1,-49
1471,1,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16415,-3054,0,0,1,Private service staff,3,-6
1472,0,F,N,N,0,90000.0,Working,Higher education,Separated,House / apartment,-21887,-1526,0,0,0,Core staff,1,-14
1473,0,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15170,-7979,0,0,0,High skill tech staff,2,-48
1474,1,F,N,Y,2,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-13077,-5394,1,0,0,Medicine staff,4,-18
1475,1,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-20693,1,0,0,0,No,2,-3
1476,1,F,Y,Y,0,360000.0,Working,Higher education,Civil marriage,House / apartment,-11452,-2012,0,0,0,Unknown,2,-18
1477,1,F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-19682,-2104,1,0,0,Cleaning staff,1,-9
1478,1,M,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-8274,-742,1,1,0,Laborers,2,-10
1479,1,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-21471,1,0,0,0,No,1,-23
1480,1,F,N,Y,0,72000.0,Working,Secondary / secondary special,Widow,House / apartment,-19923,-2078,1,1,0,Cleaning staff,1,-22
1481,0,F,Y,Y,2,292500.0,Commercial associate,Higher education,Married,House / apartment,-13958,-3021,0,0,0,Sales staff,4,-10
1482,1,F,Y,Y,1,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18785,-5088,0,0,0,Unknown,3,-34
1483,1,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20371,1,0,0,0,No,1,-47
1484,1,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8854,-195,1,0,0,Laborers,1,-31
1485,1,M,Y,N,0,148500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10986,-3595,1,1,0,Laborers,2,-15
1486,1,F,N,Y,1,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10175,-1966,0,1,0,Private service staff,3,-1
1487,1,M,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10676,-2326,0,1,1,Laborers,3,-23
1488,1,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23594,1,0,0,0,No,1,-45
1489,1,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21985,1,0,0,0,No,1,-34
1490,1,M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-19124,-5064,0,1,0,Laborers,2,-40
1491,1,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19922,-1128,0,0,0,Unknown,2,-25
1492,1,F,Y,N,0,121500.0,State servant,Higher education,Married,House / apartment,-19912,-4973,0,1,0,Unknown,2,-31
1493,1,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,With parents,-16271,-3111,0,0,0,Core staff,2,-19
1494,1,F,Y,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,-21269,1,0,1,0,No,2,-39
1495,1,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11353,-2316,0,0,1,Accountants,2,-7
1496,1,M,Y,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-16767,-1477,0,0,0,Low-skill Laborers,3,-11
1497,1,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-15906,-1881,0,0,0,High skill tech staff,2,-39
1498,1,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-9850,-246,0,0,0,Unknown,2,-13
1499,1,F,Y,Y,1,315000.0,State servant,Higher education,Widow,House / apartment,-18233,-425,0,1,1,Unknown,2,-43
1500,1,M,Y,N,0,162000.0,Pensioner,Higher education,Married,House / apartment,-20053,1,0,0,0,No,2,-4
1501,1,F,N,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,-18841,-4166,1,1,0,High skill tech staff,2,-13
1502,0,F,N,Y,0,99000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9759,-2410,0,0,0,Unknown,1,-44
1503,1,F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,-14240,-1586,0,0,0,Core staff,2,-39
1504,1,M,Y,N,0,166500.0,Working,Higher education,Married,With parents,-10435,-1713,1,0,0,Core staff,2,-13
1505,1,F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19881,-8405,0,1,0,Accountants,1,-18
1506,1,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12733,-3185,1,0,0,Drivers,2,-44
1507,1,F,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10087,-2908,1,1,0,Sales staff,3,-31
1508,0,F,N,N,0,122400.0,Working,Secondary / secondary special,Married,House / apartment,-20952,-1155,1,0,1,Medicine staff,2,-28
1509,1,M,Y,Y,2,292500.0,Commercial associate,Higher education,Married,House / apartment,-15363,-3327,0,0,0,High skill tech staff,4,-32
1510,1,M,N,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-10152,-2585,1,0,0,Laborers,2,-48
1511,1,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18516,-2129,1,1,0,Low-skill Laborers,2,-18
1512,1,F,N,N,0,85500.0,Working,Secondary / secondary special,Married,House / apartment,-17655,-5382,1,0,0,Unknown,2,-9
1513,1,F,N,Y,0,180000.0,Working,Lower secondary,Married,House / apartment,-16551,-5041,0,0,0,Cleaning staff,2,-14
1514,1,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-14866,-5992,0,0,0,Medicine staff,2,-52
1515,1,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-24216,1,0,0,0,No,1,-52
1516,1,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286,1,0,0,0,No,1,-21
1517,1,F,N,Y,0,382500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16973,-2925,0,0,0,Sales staff,2,-55
1518,1,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,-17309,-3500,0,0,0,Unknown,2,-8
1519,1,F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-13520,-5488,0,0,0,Core staff,2,-55
1520,0,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,With parents,-16271,-3111,0,0,0,Core staff,2,-30
1521,1,F,Y,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14186,-1736,0,1,0,Sales staff,3,-31
1522,1,F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-19284,-2604,1,1,0,Core staff,2,-17
1523,1,F,N,N,0,103500.0,Working,Secondary / secondary special,Separated,House / apartment,-15715,-3657,1,0,0,Cooking staff,1,-26
1524,1,M,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14876,-2087,0,0,0,Unknown,2,-40
1525,1,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20362,1,0,0,0,No,2,-31
1526,1,M,Y,Y,0,180000.0,Working,Higher education,Married,With parents,-11089,-1467,0,0,0,Laborers,2,-18
1527,1,F,N,N,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-11720,-1191,0,0,0,Sales staff,3,-4
1528,1,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14064,-5326,0,0,0,Drivers,1,-11
1529,1,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17862,-212,0,0,0,Laborers,2,-2
1530,1,F,N,N,1,180000.0,State servant,Higher education,Married,House / apartment,-14069,-2500,1,1,1,Core staff,3,-27
1531,1,F,N,Y,1,225000.0,Working,Higher education,Married,House / apartment,-13071,-1344,0,0,0,Sales staff,3,-11
1532,0,F,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-16314,-1040,1,0,0,High skill tech staff,2,-11
1533,1,F,N,Y,0,135000.0,Pensioner,Higher education,Single / not married,House / apartment,-22501,1,0,0,0,No,1,-48
1534,1,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-10492,-2822,0,0,0,Drivers,2,-55
1535,1,M,Y,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,-11955,-893,1,1,1,Laborers,2,-4
1536,1,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,-18013,-1215,0,0,0,Laborers,2,-28
1537,0,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17143,-5507,0,1,0,Unknown,2,-42
1538,0,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18150,-1812,0,0,0,Drivers,3,-37
1539,1,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15509,-1189,1,1,0,Drivers,2,-9
1540,1,F,N,Y,0,135000.0,Pensioner,Incomplete higher,Separated,House / apartment,-20388,1,0,0,0,No,1,-6
1541,1,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,Co-op apartment,-15120,-5649,0,1,0,High skill tech staff,2,-24
1542,1,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19658,-1801,0,0,0,Unknown,2,-57
1543,1,F,N,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,-23483,1,0,0,0,No,2,-36
1544,1,F,N,Y,1,121500.0,Working,Higher education,Married,House / apartment,-11981,-2965,1,0,0,Accountants,3,-58
1545,1,M,Y,N,0,112500.0,Working,Higher education,Single / not married,With parents,-10117,-108,0,0,0,High skill tech staff,1,-39
1546,1,M,N,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-18311,-1407,0,0,0,Drivers,2,-21
1547,0,F,N,N,0,171000.0,Working,Secondary / secondary special,Separated,Office apartment,-16241,-8862,1,0,0,Drivers,1,-28
1548,0,F,Y,Y,1,315000.0,State servant,Higher education,Married,House / apartment,-13771,-2080,0,0,0,Core staff,3,-21
1549,1,M,Y,Y,2,225000.0,Working,Higher education,Married,House / apartment,-13456,-992,0,0,0,Drivers,4,-34
1550,1,M,N,N,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15323,-8290,1,0,0,Laborers,1,-31
1551,1,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18365,-701,0,0,0,High skill tech staff,2,-20
1552,1,M,Y,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-17504,-6102,0,1,0,Managers,2,-34
1553,1,F,Y,Y,2,540000.0,Working,Higher education,Single / not married,House / apartment,-14160,-422,0,1,1,Unknown,3,-26
1554,1,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21500,1,0,0,0,No,2,-33
1555,1,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,-19657,-1710,0,0,0,Sales staff,2,-30
1556,1,F,N,Y,0,202500.0,Pensioner,Higher education,Separated,House / apartment,-22998,1,0,0,0,No,1,-20
1557,1,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18458,-6014,0,1,0,Accountants,2,-29
1558,1,M,N,N,0,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,-17696,-412,0,0,0,Laborers,2,-50
1559,1,F,N,N,0,112500.0,Commercial associate,Lower secondary,Married,Municipal apartment,-19020,-231,0,0,0,Sales staff,2,-37
1560,1,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-9876,-1571,0,0,0,Core staff,2,-6
1561,0,M,Y,Y,0,90000.0,Working,Incomplete higher,Married,House / apartment,-18992,-3243,0,1,0,Drivers,2,-2
1562,1,F,N,Y,0,135000.0,State servant,Higher education,Separated,House / apartment,-16493,-9255,0,0,0,Core staff,1,-59
1563,1,F,N,N,2,76500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11978,-370,0,0,0,Unknown,4,-26
1564,0,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11090,-321,0,1,1,Sales staff,2,-43
1565,1,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,-22456,-1934,0,1,0,Managers,2,-11
1566,1,F,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,-10388,-2437,0,0,0,Unknown,2,-7
1567,1,F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13436,-2452,0,0,0,High skill tech staff,2,-42
1568,1,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21289,1,0,0,0,No,2,-55
1569,1,F,N,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13446,-2720,0,0,0,Sales staff,4,-31
1570,1,M,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20154,-5706,1,0,0,Drivers,2,-2
1571,1,M,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-19686,-1131,0,0,0,Laborers,2,-35
1572,1,F,N,Y,0,94500.0,Pensioner,Higher education,Single / not married,House / apartment,-22481,1,0,0,0,No,1,-33
1573,1,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17366,-3080,0,0,0,Core staff,2,-33
1574,1,M,Y,N,0,157500.0,Working,Higher education,Married,House / apartment,-20516,-2265,0,1,0,Laborers,2,-16
1575,1,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22976,1,0,0,0,No,1,-12
1576,1,F,N,Y,3,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11677,-3356,0,0,0,Laborers,5,-3
1577,0,F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,-17416,-201,0,0,0,Unknown,3,-1
1578,1,F,N,Y,0,675000.0,Commercial associate,Higher education,Married,House / apartment,-19698,-4441,0,1,0,Managers,2,-23
1579,1,F,N,Y,0,108000.0,Working,Secondary / secondary special,Widow,House / apartment,-18128,-1403,0,0,0,Laborers,1,-19
1580,1,F,N,Y,0,247500.0,Commercial associate,Higher education,Widow,House / apartment,-23339,-1233,0,1,0,Unknown,1,-14
1581,1,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12075,-1430,0,1,0,High skill tech staff,1,-9
1582,1,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20369,1,0,0,0,No,2,-11
1583,1,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12644,-2811,0,0,0,Laborers,2,-9
